Data information of 192.168.250.1
Time,Sent Data, Total Data
2020-02-25 03:38:06,760,183240
2020-02-25 03:38:06,1062,184302
2020-02-25 03:38:06,777,185079
2020-02-25 03:38:08,736,185815
2020-02-25 03:38:08,832,186647
2020-02-25 03:38:08,116,186763
2020-02-25 03:38:12,1666,188429
2020-02-25 03:38:12,2883,191312
2020-02-25 03:38:12,923,192235
2020-02-25 03:38:12,2654,194889
2020-02-25 03:38:12,615,195504
2020-02-25 03:38:12,876,196380
2020-02-25 03:38:23,740,197120
2020-02-25 03:38:25,506,197626
2020-02-25 03:38:25,506,198132
2020-02-25 03:38:25,2195,200327
2020-02-25 03:38:28,322,200649
2020-02-25 03:38:28,124,200773
2020-02-25 03:38:28,140,200913
2020-02-25 03:38:37,152,201065
2020-02-25 03:38:39,218,201283
2020-02-25 03:38:42,1060,202343
2020-02-25 03:38:42,760,203103
2020-02-25 03:38:44,1050,204153
2020-02-25 03:38:44,120,204273
2020-02-25 03:38:44,468,204741
2020-02-25 03:38:44,804,205545
2020-02-25 03:38:44,642,206187
2020-02-25 03:38:44,1066,207253
2020-02-25 03:38:44,120,207373
2020-02-25 03:38:47,1070,208443
2020-02-25 03:38:47,520,208963
2020-02-25 03:38:47,390,209353
2020-02-25 03:38:47,1066,210419
2020-02-25 03:38:47,490,210909
2020-02-25 03:38:47,1054,211963
2020-02-25 03:38:47,120,212083
2020-02-25 03:38:47,1060,213143
2020-02-25 03:38:47,266,213409
2020-02-25 03:38:47,120,213529
2020-02-25 03:38:47,1036,214565
2020-02-25 03:38:47,1412,215977
2020-02-25 03:38:47,1060,217037
2020-02-25 03:38:47,454,217491
2020-02-25 03:38:47,1078,218569
2020-02-25 03:38:47,120,218689
2020-02-25 03:38:49,116,218805
2020-02-25 03:38:56,452,219257
2020-02-25 03:39:00,322,219579
2020-02-25 03:39:00,124,219703
2020-02-25 03:39:00,140,219843
2020-02-25 03:39:09,468,220311
2020-02-25 03:39:10,152,220463
2020-02-25 03:39:10,1062,221525
2020-02-25 03:39:10,777,222302
2020-02-25 03:39:12,736,223038
2020-02-25 03:39:12,832,223870
2020-02-25 03:39:17,1062,224932
2020-02-25 03:39:17,761,225693
2020-02-25 03:39:17,1076,226769
